,Agric,Food ,Soda ,Beer ,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Gold ,Mines,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  
198509,-8.55,7.42,-0.2,-0.75,-5.27,-1.97,-5.52,-3.06,-3.05,-11.5,-3.82,-1.95,-3.44,-2.27,-0.78,-3.75,-7,-4.49,-0.97,-4.7,-3.19,-2.39,-7.73,-9.77,-10.35,-1.32,-5.31,-4.2,-7.66,-6.11,-3.16,-7.48,-6.36,-8.27,-3.78,-3.09,-6.58,-4.37,-4.23,-3.66,-6.24,-4.51,-3.45,-3.76
198510,3.09,4.03,3.99,5.64,-4.1,8.42,3.05,4.53,7.03,-5.34,5.7,4.57,5.03,0.73,8.17,3.51,-1.37,-4.45,0.9,2,4.75,1.7,0.81,-1.83,-2.77,6.19,6.3,4.07,4.7,5.48,4.28,1.63,1.81,-2.76,1.84,4.53,1.82,3.69,8.25,2.12,10.21,8.7,0.43,6.38
198511,4.59,9.33,13.44,2.43,10.52,4.52,6.95,11.61,8.28,3.8,8.9,11.33,5.8,7.4,4.07,9.17,8.8,6.04,2.09,7.88,7.38,8.21,5.95,3.47,7.13,0.46,4.24,7.37,8.59,7.86,8.59,12.29,7.42,11.94,6.94,9.44,6.78,8.76,7.38,9.04,7.1,9.18,2.44,7.25
198512,9.2,2.05,3.12,12.08,5.91,4.11,7.1,6,2.15,6.02,5.14,2.56,6.61,5.39,7.61,5.2,3.55,2.8,1.67,3.84,3.06,5.54,3.33,-4.87,-2.24,-3.16,4.85,6.2,3.9,5.32,9.6,9.02,7.21,4.5,6.01,4.53,1.75,6.19,4.16,4.05,7.09,2.41,4.37,5.26
198601,7.92,2.38,-1.2,-0.86,2.14,3.91,-0.78,-0.96,5.22,-3.98,3.46,1.7,1.85,6.47,3.1,1.82,2,2.73,1.74,2.01,0.28,4.85,-0.63,9.98,-0.38,-6.81,3.78,-3.94,2.18,1.31,-1.12,-1.62,0.85,3.8,4.61,1.91,6.07,2.48,1.67,-0.09,2.82,6.63,2.08,2.47
198602,13.98,7.89,11.68,7.71,10.72,8.28,14.67,10.73,9.33,4.1,-1.25,8.24,12.02,8.83,10.24,12.36,14.28,5.65,8.21,8.33,8.76,10.92,10.99,-9.95,-1.56,0.79,6.55,7.38,7.88,7.92,2.72,5.38,8.35,9.98,8.68,10.61,6.94,8.84,7.21,9.27,11.04,7.41,6.99,8.18
198603,2.74,7.85,10.89,9.17,5.65,6.86,5.07,5.57,6.17,6.96,12.17,13.03,5.46,6.06,8.12,10.17,14.58,3.87,5.96,4.69,3.93,10.78,6.01,-7.61,6.24,-0.13,3.95,3.79,5.39,6.48,-0.1,-2.3,0.03,-1.15,4.18,5.61,2.85,7.43,9.11,6.42,7.22,5.31,9.32,5.49
198604,5.24,-0.57,4.44,-2.92,3.91,8.36,-1.14,-1.66,-2.78,-1.3,7.97,-0.48,1.37,2.3,-1.75,-2.84,-0.67,-5.27,-0.71,-0.79,-0.83,-7.74,-4.47,-9.74,-2.52,0.78,-3.89,2.43,2.82,1.86,3.87,10.94,3.55,2.69,-2.5,-0.93,-2.52,1.7,-0.7,3.86,-0.58,-6.1,-3.22,-3.29
198605,1.08,8.55,7.95,6.37,3.16,5.91,10.96,4.61,9.78,2.83,4.43,8.71,5.98,10.24,4,3.85,5.39,1.77,1.36,1.15,1.65,3.34,2.18,1.16,4.09,7.37,3.62,4.8,-1.19,5.9,1.01,3.1,-0.75,2.51,6.66,5.07,0.47,5.51,11.95,4.89,4.21,5.72,-1.21,5.19
198606,8.76,7.02,5.74,8.81,-6.5,7.95,2.77,1.75,4.34,-3.28,4.24,7.57,0.17,-2.83,5.03,-0.59,-2.32,-3.32,1.33,-4.09,-3.98,-0.36,1.56,-6.94,-3.86,-2.33,5.08,5.43,2.76,0.84,-4.47,-5.01,-1.45,-8.24,0.35,3.44,-2.47,0.84,4.75,1.27,2.49,-0.5,-1.01,2.92
198607,-12.79,-3.71,-7.02,-2.99,-7.04,-15.13,-7.81,-7.84,-8.79,-7.54,-7.49,-4.55,-6.21,-8.59,-7.52,-7.52,-11.02,-15.44,-8.97,-9.25,-7.31,-8.35,-8.68,7.13,-11.1,-5.25,5.14,-3.02,-8.73,-10.58,-7.61,-11.98,-8.61,-6.77,-5.96,-2.56,-9.44,-9.49,-9.4,-11.21,-6.41,-4.03,-8,-5.54
198608,1.82,3.5,1.3,-1.43,8.08,-1.87,2.49,4.35,3,3.02,7.13,3.51,5.99,2.15,1.23,9.13,5.04,8.59,1.24,6.96,8,7.53,5.25,16.03,15.31,16.75,7.9,6.87,8.17,4.67,6.63,5.45,6.53,11.98,9.55,5.54,6.52,2.4,1.44,1.6,7,8.2,2.35,6.91
198609,-8.37,-11.85,-13.43,-8.1,-9.74,-9.78,-10.24,-9.46,-9.76,-6.98,-10.63,-13.83,-5.31,-11.83,-6.45,-6.14,-4.1,2.25,1.05,-6.73,-7.39,-6.98,-7.98,8.11,1.83,-0.9,-9.09,-9.29,-4.25,-9.96,-5.65,-8.09,-8.18,-12.08,-5.78,-8.87,3.28,-8.56,-8.43,-7.62,-9.84,-11.38,-8.34,-10.12
198610,-2.37,12.83,7.83,7.55,0.83,9.99,6.17,8.15,8.14,4.38,7.06,8.7,8.51,9.44,5.46,6.67,-0.33,3.27,-2.68,3.26,4.39,8.95,1.57,-0.66,-0.82,2.07,5.24,4.66,7.38,5.73,-2.99,14.29,5.03,5.23,5.97,6.14,4.35,6.06,7.99,6.93,2.57,1.37,5.44,4.72
198611,0.39,0.55,0.45,0.8,0.31,-4.71,0.39,6.22,0.67,-4.61,-1.61,2.9,3.91,0.83,8.9,3.57,-1.85,-5.69,2.13,3.05,2.91,1.92,2.82,4.17,1.43,3.07,0.55,3.94,1.71,2.05,3.86,4.59,2.26,6.21,1.91,3.63,0,1.22,2.03,0.64,-0.83,-1.92,-4.4,-0.37
198612,-3.53,-4.15,-0.05,-2.29,-7.7,-3.44,-3.05,1.02,-7.14,-9.65,-2.95,0.28,-3.77,-1.57,0.79,-1.77,-2.71,-3.06,-5.06,0.89,-5.86,-4.62,-3.21,-3.68,-0.44,-0.45,-3.31,-3.73,-1.82,-0.85,-4.33,-2.63,-2.82,-2.21,-1.63,2.24,-5.57,-3.5,-7.14,-4.1,-1.2,-1.59,-1.04,-3.1
198701,8.24,11.6,15.07,22.02,20.09,19.26,14.51,14.2,11.72,7.03,13.69,13.82,15.17,15.02,7.77,17.6,11.51,13.9,10.21,14.53,16.77,19.33,3.57,10.93,17.85,13.97,9.3,5.31,24.47,14.3,15.71,27.5,15.67,17.27,24.27,14.14,7.82,11.83,10.33,9.56,9.33,9.33,9.73,11.41
198702,7.68,4.22,4.6,3.35,9.18,9.21,10.7,3.9,13.46,8.92,12.98,11.21,5.64,5.07,6.64,4.07,8.07,7.89,10.17,6.81,4.93,3.37,7.1,19.18,10.94,-1.7,-2.15,0.04,2.01,5.84,10.02,11.11,8.59,8.78,-0.62,2.37,5.06,5.45,11.66,10.28,5.38,7.73,7.4,1.77
198703,2.44,2.21,2.39,0.86,4.83,0.87,-0.82,2.06,1.15,6.86,0,-0.61,5.35,1.29,1.92,4.11,6.05,7.11,3.94,1.75,0.4,6.91,-1.86,26.83,12.41,12.39,-1.66,1.43,-7.23,1.13,4.02,5.82,-0.71,1.81,5.72,0.5,-2.34,1.51,1.93,4.87,-1.53,-5.64,1.52,0.22
198704,-2.09,-5.39,-6.81,4.21,5.75,1.23,-3.04,-2.39,-4.59,-6.39,-2.76,-1.9,1.48,-2.65,6.21,-3.01,-7.18,3.61,-9.15,0.25,-0.64,8.19,-10.65,4.21,2.31,0.18,-4.33,-2.42,-4.54,-3.36,6.47,5.49,1.09,0.54,-3.22,-2.73,-1.67,-4.21,-2.45,-1.87,-4.02,-6.66,-5.9,-4.56
198705,-0.73,3.87,3.21,-4.5,-3.33,1.39,4.45,1.34,-1.35,3.49,-0.46,1.32,0.4,2.93,8.98,-2.64,-1.68,4.04,-1.16,3.99,-0.05,-2.44,0.58,-6.8,-1.18,3.04,-1.85,3.33,-4.16,1.61,-0.58,5.43,-2.38,9.25,-4.67,-0.48,6.93,-0.76,0.56,-0.55,-1.27,-1.84,-1.28,-0.05
198706,4.47,7.67,4.83,2.1,-0.73,8.56,8.36,5.24,9.52,6.07,5.4,4.47,4.78,2.3,0.88,6.41,1.55,3.24,-0.47,2.91,4.2,2.33,5.36,-4.85,0.54,5.76,3.39,7.04,7.38,4.83,0.26,-7.07,2.4,-3.55,5.25,9.11,5.52,3.64,7.52,2.95,6.03,5.75,3.44,4.34
198707,-3.38,1.88,6.22,8.43,4.35,6.85,8.98,5.04,4.88,4.69,1.95,6.67,5.86,5.32,4.75,7.68,3.57,19.04,4.25,12.25,4.73,6.61,11.49,22.57,15.4,3.26,-1.68,6.01,2.18,2.99,-0.05,-2.75,5.61,1.91,4.94,4.39,4.06,4.6,6.72,3.21,-0.08,0.97,7.09,3.19
198708,2.4,2.47,4.92,2.08,8.83,3.94,-0.47,5.49,1.01,-3.49,5.09,2.37,2.39,4.54,-1.99,2.63,-0.23,-4.12,5.89,1.2,4.7,4.46,1.08,0.97,-6.49,1.74,3.71,5.1,5.86,3.67,7.64,11.81,5.75,6.8,6.42,6.7,-0.05,2.51,3.38,2.04,4.69,8.81,2.67,5
198709,0.01,-3.61,-1.5,0.68,-1.9,-2.17,-2.85,-1.04,-8.1,-2.97,-4.41,-2.13,-0.52,-1.12,-1.48,-0.59,-2.63,3.66,-1.04,4.09,2.23,-6.8,-2.45,5.55,4.88,-3.83,-2.31,2.99,-4.11,1,-6.34,3.64,1.89,3.17,1.37,1.62,-1.88,-3.49,-7.1,-4.24,-4.79,-2.17,0.25,-1.26
198710,-29.06,-17.88,-16.05,-18.07,-34.41,-31.86,-22.57,-21.64,-30.9,-31.43,-20.56,-19.11,-28,-30.57,-32.51,-27.74,-31.1,-30.5,-26.67,-31.19,-32.2,-28.33,-30.23,-30.93,-33.32,-18.21,-6.94,-12.35,-28.25,-27.67,-23.79,-27.19,-27.82,-30.15,-26.35,-28.24,-27.72,-28.65,-29.14,-24.04,-22.13,-16.85,-22.68,-22.82
198711,-2.67,-8.18,-7.94,-4.84,-11.35,-6.27,-7.98,-10.28,-12.32,-5.86,-7.02,-10.08,-5.65,-5.69,-5.36,-4.27,-9.7,2.47,0.54,-1.43,-6.74,-5.72,-9.33,19.82,-0.69,-10.66,-2.53,-8.92,-11.19,-7.62,-9.57,-11.5,-10.72,-9.17,-2.93,-2.92,-8.61,-4.57,-9.29,-6.65,-7.9,-8.53,-8.95,-6
198712,6.69,7.49,5.24,12.67,16.91,11.58,8.54,7.14,7.79,4.73,6.46,5.19,14.45,14.68,14.09,8.83,6.74,10.46,6.99,11.64,13.56,9.61,5.37,-0.65,10.37,6.6,0.57,4.27,17.76,12.54,8.58,22.4,13.73,20.85,10.71,11.06,7.37,10.49,7.96,8.07,5.06,2.71,2.85,3.4
198801,3.32,4.08,2.05,-0.26,-6.27,2.05,1.89,1.04,8.19,3,5.52,6.89,-2.26,2.4,0.91,3.49,6.79,-3.4,0.43,2.69,-0.18,6.94,14.63,-17.69,-3.62,8.76,9.76,9.76,2.99,0.33,-2.93,-6.26,-1.12,-1.28,-2.24,-3.99,4.3,3.35,7,4.69,11.53,8.36,3.74,8.27
198802,1.38,5.42,1.64,5.47,10.23,10.38,6.56,2.93,11.73,2.6,6.94,3.85,8.12,6.98,23.11,12.09,14.46,9.62,4.35,10.5,7.68,7.54,5.08,8.52,7.62,3.47,-1.43,1.32,6.38,6.87,6.81,7.16,7.85,9.66,11.01,3.28,8.56,8.29,11.86,7.09,3.36,0.59,4.59,4.17
198803,4.82,-0.99,0.01,0.58,-1.73,-3.94,-4.68,-6.11,-0.43,9.75,-2.1,-3.95,-2,2.48,9.06,1.56,-0.71,-3.73,6.85,4.55,-4.05,0.93,-0.51,3.18,12.12,2.45,-3.17,-3.82,-1.88,-0.32,-7.74,-1.67,-1.42,0.45,-3.7,-0.94,3.68,2.35,-1.17,-1.61,-3.95,-3.08,4.07,-1.98
198804,-4.7,1.03,-0.09,-2.3,4.11,2.12,-0.64,0.22,-0.16,0.49,-3.18,-2.05,1.79,1.89,0.06,1.56,0.42,5.96,5.49,2.38,1.36,3.42,1.48,-1.22,2.59,4.53,-0.29,0.67,-3.72,-0.6,3.9,0.35,2.12,0.09,1.43,1.32,-1.79,0.84,2.36,0.29,0.29,-1.5,5.75,-0.59
198805,-1.02,0.57,0.5,-2.3,0.54,-1.5,0.77,1.85,-2.2,0.6,1.19,-0.67,-1.97,-0.93,2.21,-1.48,-0.7,-0.42,-3.88,-0.41,-1.07,1.36,2.53,6.05,-1.47,-0.52,3.59,2.17,-4.68,-2.02,-0.73,-0.85,-0.93,-5.28,-1.87,2.06,-1.55,-1.84,-1.43,-0.18,3.13,2.06,0.24,1.55
198806,12.9,-0.63,4.04,8.85,11.64,6.55,5.69,4.16,7.47,5.52,3.87,2.09,9.55,7,4.45,8.53,12.73,6.59,6.12,5.88,8.7,8.2,5.55,-0.12,2.73,-2.08,3.23,3.01,7.31,6.19,11.16,12.03,7.48,2.27,14.78,8.07,11.41,7.35,6.95,6.2,7.49,3.24,4.62,5.9
198807,-3.12,3.37,-3.61,-2.93,-2.39,0.18,-0.08,0.51,0.44,-4.42,-0.17,1.13,-3.98,-1.21,0.55,-2.73,-0.6,1.44,-0.28,-3.33,-3.82,-0.53,0.21,-0.31,-1.57,3.58,-0.26,0.02,-4.43,-1.54,-5.04,-7.86,-4.44,-6.1,-3.24,0.14,-2.56,-1.91,-0.41,-2.19,0.19,0.43,0.6,0.1
198808,-0.15,0.86,-5.7,1.32,-6.22,-3.1,-3.08,-3.03,3.07,-4.51,0.97,-0.95,-4.03,-6.48,-3.05,-4.22,-4.19,-4.93,3.61,-5.98,-6.26,-6.48,-3.28,-5.64,-1.03,-1.46,-0.13,-3.05,-3.95,-3.87,-9.12,-8.32,-7.17,-4.13,-4.13,-1.86,-2.74,-2.89,-2.59,-2.62,-1.46,2.07,-1.39,-0.34
198809,2.67,5.56,1.61,10.1,4.97,2.44,6.91,4.85,0.12,9.7,0.18,3.76,2.03,5.37,3.56,-0.25,1.43,0.84,5.99,1.38,6.5,3.79,6.07,-5.8,3.19,-2.48,2.71,7.36,1.24,4.37,3.03,5.36,2.25,0.28,3.46,2.63,7.15,4.5,8.86,8.7,3.96,5.12,1.46,2.17
198810,0.83,19.59,3.23,0.4,0.09,2.51,1.46,2.64,0.93,1.91,-2.56,1.6,0.93,-1.27,1.3,-0.23,-0.67,4.56,2.89,0.04,-1.02,4.4,1.57,-1.36,2.13,1.81,2.53,2.8,0.86,0.96,1.39,-5.26,-1.59,-1.83,-1.69,6.37,1.11,0.52,2.18,-0.13,-0.61,0.13,-0.62,0.11
198811,-0.76,-0.55,0.35,-0.05,-3.75,-4.49,-3.81,-4.55,-5.13,-5.34,-4.8,-1.55,-2.64,-3.11,-5.85,-4.2,1.49,-2.09,-2.65,-0.28,1.37,-0.08,-3.05,3.95,-4.32,-0.25,-0.46,0.34,-4.06,-3.27,-3.04,-0.75,-4.19,-3.34,-2.29,1.74,0.98,-3.92,-2.65,-2.07,-2.69,-3.09,-2.04,-1.83
198812,6.38,2.61,9.92,0.56,5.02,5.28,3.09,3.09,5.61,2.87,3.36,1.56,4.91,5.01,7.78,3.76,5.13,4.11,-0.09,3.04,1.79,-0.48,-0.3,-4.56,5.27,1.83,1.02,1.62,3.14,1.57,4.69,7.81,4.73,4.41,3.36,3.56,2.4,3.37,0.94,2.93,-0.86,0.61,-1.74,0.16
198901,3.15,5.33,6.43,5.21,10,8.84,7.23,5.93,2.89,8.18,5.01,6.86,10.35,4.09,9.29,5.91,5.66,11.89,4.71,4.59,7.63,8.39,5.93,-0.59,5.95,6.22,2.76,8.96,5.57,5.99,7.51,9.37,6.32,2.43,6.98,3.01,9.73,5.93,6.44,5.48,6.62,6.75,3.86,7.11
198902,-0.56,-2.33,-3.64,0.06,4.25,0.44,-2.99,-1.29,1.09,4.43,-2.12,-1.59,-2.16,1.25,6.1,3.11,-2.96,-3.51,1.54,-1.78,-4.68,-4.53,-0.86,10.21,-2.05,-1.32,-1.82,-1.22,-2.58,-1.94,-4.57,-2.27,-2.92,-0.66,-2.75,-4.33,-0.29,-2.31,-1.75,-1.37,-0.59,0.02,-2.32,-0.51
198903,3.43,4.32,3.47,7.78,7.34,7.71,3.28,0.75,4.06,7.02,2.88,5.03,2.46,2.29,5,1.21,1.86,-1.9,2.71,1.77,-1.02,-2.56,3.91,-4.65,1.06,3.82,0.57,5.56,1.06,-0.36,-8.1,-3.81,-1.25,0.88,0.46,2.81,-1.38,1.75,3.17,3.81,5.63,4.94,2.08,2.86
198904,4.81,5.44,0.97,6.92,4.89,8.27,7.61,5.96,0.77,7.2,6.81,5.11,4.9,5.6,5.05,5.75,4.92,3.48,7.41,4.46,8.01,-0.46,4.42,-5.9,4.74,2.56,3.9,9.63,1.46,6.81,4.21,8.8,5.89,7.24,5.44,0.49,6.03,4.67,5.82,7.42,3.81,4.69,0.12,2.92
198905,2.64,4.99,4.85,8.89,7.63,5.74,2.01,2.43,4.04,2.59,5.9,3.23,0.87,2.41,2.74,3.43,5.58,1.21,5.44,5.24,11.32,1.41,2.42,-7.7,-0.51,2.86,5.34,5.79,4.36,5.08,0.67,5.6,5.5,3.66,2.61,7.05,2.54,3.36,5.56,10.25,6.4,2.5,3.61,2.36
198906,-1.87,2.62,-5.01,-1.45,7.79,3.38,5.75,1.73,-0.57,1.04,-4.35,-2.86,-2.7,-1.57,-1.1,-1.12,3.32,-3.82,-1.43,-3.4,-4.5,0.62,-4.53,9.34,-2.87,-0.97,3.4,-0.03,-1.65,0.17,-2.3,-7.17,-4.23,-4.05,-4.2,-3.31,-0.16,-2.12,-2.3,1.99,0.06,2.19,0.33,0.41
198907,17.04,12.87,3.56,16.66,9.94,8.27,6.22,7.36,9.62,10.49,9,14.84,6.6,8.27,7.07,9.54,8.64,6.6,3.69,7.03,11.36,4.29,7.37,-2.23,1.88,3.78,5.8,8.57,5.48,5.85,2.27,0.67,4.71,6.28,7.42,10.51,7.74,5.81,10.49,7.73,7.78,9.27,-0.62,7.29
198908,-4.69,-4.48,-6.16,-4.17,-0.91,3.08,-1.17,2.78,5.24,2.29,2.86,-0.1,7.29,2.93,3.32,2.9,4.36,7.99,1.87,3.57,-0.31,8,3.16,6.21,8.95,3.34,-0.8,1.02,0.99,1.87,2.8,4.03,1.22,1.07,5.94,6.33,13.02,1.61,3.7,-0.72,1.35,2.11,0.86,2.95
198909,-0.57,-0.89,3.19,1.49,0.2,2.79,-2.62,-3.65,5.46,-0.64,0.97,2.83,-3.41,-1.4,-3.7,-0.9,-2.12,-2.54,-3.13,-2.35,-1.47,-5.67,-0.84,6.12,-1.22,1.42,0.48,3.81,-2.69,0.5,-5.69,3.45,1.78,-3.28,-3.74,-5.26,-4.29,-2.02,-2.76,0.63,2.87,2.55,-1.15,-0.15
198910,-9.87,-2.68,-8.67,1.69,-3.14,-1.93,-7.83,-1.41,-5.33,0.31,-2.54,0.79,-5.85,-6.17,-6.42,-7.93,-8.42,-9.16,-4.97,-5.74,-2.73,-6.56,-4.69,3.17,-6.86,0.49,1.01,-2.04,-9.25,-5.46,-5.14,-1.54,-3.38,-8.32,-2.74,-2.61,-9.86,-4.61,-4.39,-2.81,-8.55,1.5,-7.63,-3.96
198911,4.27,3.69,-0.75,3.78,-0.73,2.4,-1.07,1.07,-2.11,2.02,5.62,4.63,2.51,0.83,1.32,2.74,5.2,2.38,-3.78,5.72,9.42,-1.88,-0.25,14.73,3.06,3.91,3.23,1.99,2.29,-4.16,-2.21,2.07,-3.31,-0.61,3.11,3.58,0.38,0.42,1.02,2.54,-2.84,2.6,-2.98,-1.29
198912,1.3,3.61,1.48,1.58,-0.79,-8.73,-0.2,2.42,-2.32,5.92,1.51,0.53,4.21,4.08,0.65,-0.91,2.38,0.64,2.77,2.4,3.78,-2.38,-0.04,1.08,2.95,5.87,4.79,5.73,-0.35,2.78,-2.96,1.77,1.4,3.36,3.38,6.48,3.12,2.82,0.57,-0.36,-2.77,-2.14,-1.54,-2.5
199001,-11.45,-10.13,-10.63,-9.03,-11.38,-10.74,-9.26,-7.72,-9.15,-15.96,-9.57,-6.24,-7.59,-9.74,-10.11,-7.41,-0.69,-8.78,-1.22,-3.39,-3.72,-3.37,-4.02,7.9,-3.93,-4.14,-5.35,-13.4,-10.73,-6.85,1.04,-3.58,-3.06,-8.55,-7.85,-3.45,-7.61,-7.77,-5.63,-11.41,-9.73,-10.6,-7.61,-8.25
199002,9.4,-0.8,-0.89,0.51,0.63,1.79,0.28,0.17,2.67,-1.45,1.69,-2.59,2.64,4.7,2.04,2.74,6.13,3.24,3.71,5.62,1.47,6.11,4.52,-2.11,4.91,3.01,0.22,-0.34,3.32,1.99,4.29,6.25,2.95,0.61,1.46,3.71,5.93,2.11,2.22,-0.99,3.94,1.42,0.4,0.86
199003,2.69,5.29,9.89,6.21,6.75,1.09,-0.86,4.18,8.19,6.4,3.24,3.72,1.44,6.68,2.12,4.84,1.12,6.28,3.72,3.86,3.95,3.59,8.27,-9.63,4.51,-0.51,-0.75,4.18,5.1,3.22,3.68,7.76,4.55,5.61,2.06,4.34,3.26,2.98,6.04,0.66,-2.97,0.13,4.8,-2.1
199004,-2.04,0.02,-4.74,2.32,-5.9,1.14,-7.23,-1.89,-0.94,-2.05,-2.69,0.88,-3.45,-4.7,-2.63,-2.04,-5.59,-7.05,-1.54,-3.02,-0.43,-4.47,-5.61,-11.79,-1.81,-3.56,-5.51,-3.46,-0.34,-2.9,-0.01,-4.2,-5.03,-3.56,-3.09,2.19,-4.2,-2.13,-1.72,-3.94,-4.38,-4.48,-4.73,-3.39
199005,1.44,9.22,8.36,15.91,12.39,13.21,10.07,9.78,8.2,14.75,13.87,12.45,7.34,8.42,3.92,8.06,10.97,7.31,10,6.01,9.98,8.03,10.73,9.76,3.42,5.92,5.42,9.39,11.1,6.68,11.56,18.66,13.46,9.71,5.92,4.66,4.87,9.25,11.99,13.75,10.57,10.47,-0.1,4.33
199006,-6.15,2.7,0.14,1.01,-4.23,-3.66,-2.08,1.92,-1.91,5.56,4.49,4.34,-2.22,1.2,-4.82,-2.17,-2.95,-1.45,5.12,-2.65,0.19,-2.91,0.34,-7.04,-3,-2.06,0.75,-4.71,4.21,2.01,-1.98,4.24,-3.15,3.24,0.52,-6.67,-1.19,0.37,1.61,2.01,-3.65,-0.58,-1.22,-0.55
199007,6.59,0.38,1.4,0.02,-8.96,-7.76,-5.48,-1.81,-3.71,-0.12,-0.1,3.15,0.89,-1.14,-1.32,2.07,2.86,5.69,-3.26,-1.91,1.59,-2.69,-2.9,12.18,7.14,8.29,0.88,-4.59,-4.2,-3.01,-6.84,-16.3,-5.52,-4.17,2.01,0.02,-2.34,-3.95,-3.66,-6.98,-7.5,-1.2,-3.15,-5.42
199008,-9.4,-6.99,-10.44,-4.91,-14.78,-15.34,-9.34,-8.98,-17.13,-7.83,-7.24,-6.69,-12.9,-13.5,-14.18,-13.05,-13.27,-10.24,-12.26,-13.64,-13.52,-14.64,-13.37,-5.86,-8.48,-1.15,-6.63,-10.72,-11.25,-8.81,-12.05,-12.54,-12.85,-11.29,-10.83,-8.85,-13.08,-9.88,-12.82,-13.22,-11.55,-10.52,-15.19,-10.88
199009,-13.3,-1.08,-10.29,-6.63,-8.56,-3.58,-6.4,-7.44,-12.22,-5.9,-2.41,-4.44,-6.66,-6.2,-17.14,-10.32,-7.29,-6.16,-16.89,-9.33,-10.4,-11.07,-10.16,-0.81,-3.92,-1.61,0.48,1.29,-12.26,-5.77,-5.84,-10.96,-5.77,-10.58,-7.64,-4.35,-7.65,-4.73,-9.38,-9.45,-12.66,-10.6,-13.65,-10.7
199010,-2.86,3.21,4.8,7.53,-1.45,-1.29,-3.9,1.96,-7.61,-1.29,0.95,1.71,0.56,-6.03,-11.04,-4.51,-10.45,-11.44,0.72,-10.06,-2.93,-2.69,2.78,-17.26,-15.44,-4.17,7.23,2.8,-2.59,-3.94,-3.61,-0.14,-6.6,0.52,0.44,1.24,-2.49,-3.63,-3.06,-3.7,-8.81,-5.37,-14.18,-6.91
199011,8.05,5.23,9.76,5.23,9.72,12.33,10.78,7.63,16.28,8.14,12.53,9.2,10.04,10.54,8.4,7.35,9.56,2.94,12.24,10.04,5.48,2.94,2.08,-5.13,5.79,1.66,2.3,3.1,6.52,8.15,12.21,16.53,6.6,9.24,6.93,4.03,5.75,6.49,11.68,8.01,16.13,15.5,5.07,7.87
199012,-1.97,4.89,2.71,2.35,2.22,2.89,5.76,3.45,8.66,2.79,3.66,2.63,3.49,5.59,8.27,5.25,-0.25,7.96,0.35,4.61,5.74,-1.25,3.91,14.93,0.31,-2.19,0.8,1.75,6.13,4.92,4.14,4.91,4.48,3.08,6.51,6.43,5.16,4.65,2.86,5.72,7.43,5.11,-0.98,2.24
199101,6.99,3.12,5.63,4.65,11.91,4.98,9.36,0.81,18.21,10.76,9.34,3.45,5.65,6.95,11.05,10.51,7.65,8.19,10.37,7.24,11.5,7.35,7.31,-16.58,8.46,-2.01,-1.37,0.18,5.35,10.18,15.51,20.25,12.02,9.78,4.49,12.48,12.3,3.11,11.74,1.37,8.23,6.26,3.12,7.36
199102,10.38,12,7.51,10.84,17.52,10.19,3.32,6.39,14.53,8.05,9.74,10.01,6.12,6.11,12.1,7.16,20.03,6.64,6.76,8.13,6.84,10.43,1.71,5.88,11.79,8.37,4.83,3.41,7.83,6.1,5.12,7.82,5.68,16.16,5.65,5.23,5.45,8.45,7.65,13.31,12.38,9.18,13.82,11.55
199103,2.4,6.12,5.89,5.67,4.39,-2.31,0.55,4.14,3.97,12.06,8.98,4.42,-0.24,8.27,3.21,2.88,-5.18,0.53,4.68,-2.43,2.5,-0.55,0.33,-2.25,-0.08,1.31,1.71,2.34,4.03,7.82,-3.03,4.79,4.78,2.74,0.71,8.26,-1.94,3.26,9.35,10.12,4.81,5.25,8.27,9.61
199104,-0.71,-0.84,-1.88,-4.01,2.93,-3.64,3.01,-1.44,1.59,-2.24,-2.24,-0.87,3.34,1.09,2.89,0.62,-3.66,-0.1,0.32,-2.85,1.27,-2.69,-1.05,-1.4,3.47,2.51,-0.03,1.12,-0.57,0.26,-5.67,-3.45,2.51,-0.43,1.43,-0.28,3.63,1.38,2.63,-2.4,6.05,-1.84,-0.14,0.94
199105,10.75,2.67,3.1,3.86,4.14,3.93,4.38,4.05,1.02,5.52,5.33,4.44,10.03,6.19,4.46,7.49,5.59,4.2,6.61,9.04,10.03,15.94,6.26,3.95,-0.67,-1.36,0.16,-1.45,9.29,2.07,1.97,6.54,6.34,5.89,8.77,5.05,7.86,6.68,8.13,4.84,7.04,2.6,-2.34,4.14
199106,-5.16,-4.15,-6.43,-5.74,-5.45,-4.17,-7.01,-7.57,-3.27,-7.21,-4.68,-3.82,-3.31,-3.7,1.6,-4.5,-11.2,-4.8,-2.86,-7.11,-4.52,-2.73,-3.54,9.98,4.2,-3.74,-2.37,-1.9,-4.11,-5,-9.76,-8.2,-9.62,-3.11,-2.61,1.29,-4.97,-2.51,-4.43,-5.93,-6.68,-4.57,-4.11,-3.64
